Index	Name	Degree	Strength	Clustering	Clustering_Weighted	Efficiency	Efficiency_Weighted	Betweenness	Betweenness_Weighted
38	51	4	2299	0.00000000000000	0.00000000000000	0.29851190476190	0.00055482848800	0.23441558441558	0.23571428571429
39	52	3	1644	0.00000000000000	0.00000000000000	0.25344387755102	0.00046815534555	0.06601731601732	0.09042207792208
40	53	10	5609	0.42222222222222	271.28469883081851	0.43244047619048	0.00081196093647	0.10647270804225	0.12156385281385
41	54	6	3559	0.46666666666667	334.75087711801683	0.38337585034014	0.00070382667518	0.02004742585525	0.02957251082251
42	59	1	699	0.00000000000000	0.00000000000000	0.21772959183673	0.00037351524519	0.00000000000000	0.00000000000000
43	60	1	547	0.00000000000000	0.00000000000000	0.19156037414966	0.00035427771254	0.00000000000000	0.00000000000000
44	61	4	2291	0.33333333333333	185.31745232027723	0.32147108843537	0.00059013262094	0.03214658904314	0.03511904761905
45	65	9	5609	0.66666666666667	476.60561455866480	0.38784013605442	0.00069555731073	0.00815947767671	0.00600649350649
46	66	9	5807	0.55555555555556	433.16150234004090	0.38843537414966	0.00068795221767	0.02082019287902	0.02242965367965
47	67	2	1088	1.00000000000000	591.00000000000000	0.28456632653061	0.00051898888448	0.00000000000000	0.00000000000000
48	68	1	638	0.00000000000000	0.00000000000000	0.24800170068027	0.00043557366691	0.00000000000000	0.00000000000000
49	69	11	7406	0.61818181818182	434.25944027666208	0.43988095238095	0.00074781318005	0.02868305461000	0.01566558441558
50	70	12	8077	0.53030303030303	380.88631796704510	0.45178571428571	0.00076981883749	0.06694519476869	0.05922619047619
51	71	8	4693	0.42857142857143	348.04383008175120	0.43125000000000	0.00077898515916	0.23691525109725	0.24548701298701
52	72	5	2513	0.30000000000000	178.84398713336819	0.34825680272109	0.00066534210278	0.03759128524428	0.04595238095238
53	73	11	6388	0.34545454545455	260.93186623890142	0.43843537414966	0.00079033530215	0.10294928590557	0.07734848484848
54	74	11	7380	0.54545454545455	409.12548102207620	0.43099489795918	0.00073232159958	0.04050891221737	0.02835497835498
55	75	9	6580	0.69444444444444	486.63880232105652	0.39676870748299	0.00063972770228	0.01508475951415	0.00151515151515
56	76	9	5198	0.50000000000000	398.32339994861150	0.41458333333333	0.00076230905873	0.11596879967543	0.12301406926407
57	77	5	2575	0.40000000000000	224.49492760790110	0.33877551020408	0.00064555494889	0.02185289257297	0.02548701298701
