2795	+Inf	+Inf	+Inf	+Inf	1463	1785	3208	2796	987	1500	1568	2091	1568	2039	2162	2066	+Inf	+Inf	1967	2283	0	1512	2463	2639	3215	3735	989	1470	2084	2572	+Inf	+Inf	3760	4242	3770	4388	2638	3185	2041	2187	3337	3732	2070	1611	2082	2180	2677	1477	1571	1656	512	1088	1699	1660	1591	985
2877	+Inf	+Inf	+Inf	+Inf	1743	970	2584	1986	1475	473	2056	1064	2056	1531	2570	2002	+Inf	+Inf	1935	1473	1512	0	2431	2117	3623	4143	1477	1012	2572	2145	+Inf	+Inf	4168	4650	4178	4796	3046	3593	1962	1461	3745	4140	2152	2099	1655	2628	2169	1651	1653	2064	1000	1102	973	1067	1527	527
2203	+Inf	+Inf	+Inf	+Inf	1000	1488	745	622	1476	1958	1462	1964	978	1485	1486	1992	+Inf	+Inf	496	985	2463	2431	0	707	2539	3059	1557	2054	1255	1741	+Inf	+Inf	3084	3566	3094	3712	1962	2509	496	970	2661	3056	1478	1017	1472	1590	2123	1060	979	980	1951	1530	1458	2102	1517	2105
2334	+Inf	+Inf	+Inf	+Inf	1613	1149	599	862	1652	1644	1564	1645	1080	1146	1588	2094	+Inf	+Inf	1130	646	2639	2117	707	0	2641	3161	1659	1715	1596	1402	+Inf	+Inf	3186	3668	3196	3814	2064	2611	598	656	2763	3158	1609	1119	1158	1692	1784	1162	1110	1082	2127	1661	1144	1783	1619	2159
3499	+Inf	+Inf	+Inf	+Inf	2090	2653	3240	3045	2566	3150	2656	3149	2192	2711	1053	1720	+Inf	+Inf	2594	2532	3215	3623	2539	2641	0	703	2226	2763	2708	3077	+Inf	+Inf	545	1027	555	1356	577	1124	2043	2791	1276	1671	2774	2564	2587	2804	3349	2178	2275	1559	2703	2599	2729	2816	2096	3174
4019	+Inf	+Inf	+Inf	+Inf	2610	3173	3760	3565	3086	3670	3176	3669	2712	3231	1573	2240	+Inf	+Inf	3114	3052	3735	4143	3059	3161	703	0	2746	3283	3228	3597	+Inf	+Inf	477	680	1258	653	1097	550	2563	3311	1796	1097	3294	3084	3107	3324	3869	2698	2795	2079	3223	3119	3249	3336	2616	3694
1895	+Inf	+Inf	+Inf	+Inf	778	1254	2258	2063	624	1465	722	1674	579	1675	1173	1535	+Inf	+Inf	1076	1550	989	1477	1557	1659	2226	2746	0	1113	1095	2041	+Inf	+Inf	2771	3253	2781	3399	1649	2196	1061	1550	2348	2743	1170	622	1551	1191	2313	811	967	667	477	557	1168	1129	1060	950
2331	+Inf	+Inf	+Inf	+Inf	1197	742	2180	1582	1433	619	1652	701	1692	569	1710	1142	+Inf	+Inf	1590	1069	1470	1012	2054	1715	2763	3283	1113	0	2208	1133	+Inf	+Inf	3308	3790	3318	3936	2186	2733	1558	1145	2885	3280	1606	1735	643	2082	1207	1105	1107	1204	958	556	803	965	667	485
1832	+Inf	+Inf	+Inf	+Inf	1263	1990	2000	1877	1557	2221	976	2227	516	1987	1655	2161	+Inf	+Inf	759	1487	2084	2572	1255	1596	2708	3228	1095	2208	0	2225	+Inf	+Inf	3253	3735	3263	3881	2131	2678	998	1233	2830	3225	1107	504	1735	1128	2625	1106	1157	1149	1572	1652	1721	2224	1686	2045
2981	+Inf	+Inf	+Inf	+Inf	1970	1259	1867	1269	2299	1752	2211	1755	1727	1010	2024	1456	+Inf	+Inf	1466	756	2572	2145	1741	1402	3077	3597	2041	1133	2225	0	+Inf	+Inf	3622	4104	3632	4250	2500	3047	1245	992	3199	3594	2256	1766	490	2339	1648	1809	1757	1518	2060	1484	1340	1234	981	1618
