Index	Name	Degree	Strength	Clustering	Clustering_Weighted	Average_Path_Length	Average_Path_Length_Weighted	Maximum_Path_Length	Maximum_Path_Length_Weighted	Efficiency	Efficiency_Weighted	Betweenness	Betweenness_Weighted
19	25	9	5523	0.50000000000000	339.96181782861839	3.52727272727273	1937.92727272727279	9	4709	0.42392496392496	0.00074606428104	0.02954996578553	0.03612233445567
20	26	10	6215	0.37777777777778	269.03935027624618	3.41818181818182	1851.47272727272730	9	4706	0.44513708513709	0.00078842009120	0.07055046576570	0.08537598204265
21	27	2	1035	0.00000000000000	0.00000000000000	4.36363636363636	2360.03636363636360	9	4972	0.28286435786436	0.00052749574121	0.16835016835017	0.16835016835017
22	28	2	1041	1.00000000000000	526.00000000000000	4.36363636363636	2323.85454545454559	9	4900	0.29197691197691	0.00054988682813	0.00000000000000	0.00000000000000
23	29	5	3207	0.50000000000000	371.91072070418875	3.96363636363636	2143.14545454545441	10	5229	0.35362193362193	0.00062941236476	0.02109795996799	0.00982042648709
24	30	7	4767	0.42857142857143	300.21551406051969	3.76363636363636	2127.59999999999991	10	5327	0.39089466089466	0.00065115613524	0.02882270478319	0.02323232323232
25	33	4	2467	0.16666666666667	88.75546455890300	4.41818181818182	2444.38181818181829	11	5768	0.30399776990686	0.00053051454699	0.18092031425365	0.15252525252525
26	34	5	3118	0.30000000000000	159.63695935973911	5.20000000000000	2850.29090909090928	12	6292	0.28014495605405	0.00049050827124	0.06273849607183	0.04747474747475
27	35	9	6427	0.66666666666667	490.34909370417409	3.21818181818182	1837.23636363636365	8	4198	0.43474025974026	0.00071578734378	0.02303000014921	0.00785634118967
28	36	9	6312	0.69444444444444	499.47593075843793	3.21818181818182	1820.05454545454541	8	4195	0.43625541125541	0.00072306179999	0.02152765867844	0.01515151515152
29	39	3	1815	1.00000000000000	585.87193308584847	4.09090909090909	2273.29090909090928	10	5201	0.32695526695527	0.00057625325606	0.00000000000000	0.00000000000000
30	40	3	1850	0.66666666666667	536.11349039283414	4.03636363636364	2213.21818181818162	10	5229	0.33089466089466	0.00058160881502	0.00087488055146	0.00331088664422
31	43	2	1039	0.00000000000000	0.00000000000000	6.07272727272727	3240.80000000000018	11	6002	0.21098911189820	0.00040014085233	0.10505050505051	0.10505050505051
32	44	1	518	0.00000000000000	0.00000000000000	8.90909090909091	4674.47272727272684	14	7518	0.14040333403970	0.00026988786760	0.00000000000000	0.00000000000000
33	47	4	2051	0.33333333333333	237.38906141805649	5.21818181818182	2882.74545454545432	12	6333	0.27105404696314	0.00049784387279	0.08237934904602	0.09595959595960
34	48	3	1733	0.66666666666667	420.84623890451059	6.10909090909091	3328.03636363636360	13	6821	0.22937905528815	0.00041540876457	0.00101010101010	0.00202020202020
35	49	1	578	0.00000000000000	0.00000000000000	5.40000000000000	3011.87272727272739	12	6346	0.22559950150859	0.00039631978881	0.00000000000000	0.00000000000000
36	50	2	1187	1.00000000000000	698.00000000000000	6.16363636363636	3458.27272727272748	13	6932	0.21574269165178	0.00037662463984	0.00000000000000	0.00000000000000
37	51	4	2381	0.00000000000000	0.00000000000000	3.69090909090909	1989.69090909090914	10	5152	0.34507215007215	0.00062509019285	0.33400673400673	0.33468013468013
38	52	3	1681	0.00000000000000	0.00000000000000	4.47272727272727	2434.80000000000018	11	5725	0.29036140627050	0.00052299712809	0.07766554433221	0.10606060606061
39	53	11	6469	0.43636363636364	295.61887070313713	3.12727272727273	1693.12727272727284	9	4676	0.47160894660895	0.00084909427407	0.10742045626514	0.13052749719416
40	54	6	3729	0.46666666666667	352.73779157159765	3.49090909090909	1891.63636363636374	9	4759	0.40877344877345	0.00072603657341	0.01917441742248	0.02730639730640
41	59	1	704	0.00000000000000	0.00000000000000	4.67272727272727	2680.89090909090919	11	5856	0.25157352748262	0.00042385303541	0.00000000000000	0.00000000000000
42	60	1	541	0.00000000000000	0.00000000000000	5.45454545454545	2965.96363636363640	12	6266	0.22014495605405	0.00040086242449	0.00000000000000	0.00000000000000
43	61	3	1774	0.33333333333333	182.73600386239636	3.90909090909091	2157.83636363636379	9	4680	0.33665223665224	0.00060445116177	0.03636363636364	0.03636363636364
44	65	9	5757	0.69444444444444	504.30084840977469	3.63636363636364	1995.90909090909099	9	4685	0.40877344877345	0.00070861963610	0.00829339088103	0.00594837261504
45	66	9	5977	0.58333333333333	452.99346737566799	3.40000000000000	1845.74545454545455	9	4678	0.42221500721501	0.00073193531462	0.02922481433761	0.04102132435466
46	67	1	612	0.00000000000000	0.00000000000000	4.29090909090909	2429.09090909090901	10	5305	0.29180375180375	0.00050599028243	0.00000000000000	0.00000000000000
47	68	1	644	0.00000000000000	0.00000000000000	4.45454545454545	2535.16363636363621	10	5422	0.27422799422799	0.00046971237723	0.00000000000000	0.00000000000000
48	69	11	7610	0.61818181818182	446.24121678374138	3.05454545454545	1732.61818181818171	8	4081	0.46958874458874	0.00077846452074	0.04196634858947	0.05156565656566
49	70	12	8255	0.53030303030303	390.56201548268729	3.01818181818182	1733.32727272727266	8	4181	0.48170995670996	0.00079819735602	0.08904914233893	0.06977553310887
50	71	8	4928	0.50000000000000	380.00184476872056	2.98181818181818	1664.94545454545460	9	4730	0.45476911976912	0.00078751839225	0.17927713140592	0.17160493827160
51	72	4	2099	0.16666666666667	95.24912935474099	3.56363636363636	1931.23636363636365	8	4436	0.36461038961039	0.00067474241360	0.20187741414922	0.20269360269360
52	73	11	6363	0.30909090909091	248.76083098987183	2.90909090909091	1578.65454545454554	7	3869	0.48246753246753	0.00086820388247	0.26322429701017	0.22166666666667
53	74	11	7495	0.56363636363636	423.71332286067832	3.05454545454545	1738.34545454545446	8	4264	0.47110389610390	0.00078552288663	0.05617659398031	0.03078002244669
54	75	10	7128	0.64444444444444	463.21309795535490	3.10909090909091	1773.81818181818176	8	4218	0.45746753246753	0.00075122066877	0.03560620755036	0.02154320987654
55	76	10	5869	0.44444444444444	350.00021543392705	2.90909090909091	1577.40000000000009	8	4173	0.46638528138528	0.00084129287535	0.23808556511796	0.24283950617284
56	77	4	2130	0.33333333333333	176.03341326684560	3.65454545454545	1967.03636363636360	8	4428	0.35811688311688	0.00066601484204	0.02456799326199	0.02676767676768
